Olus_Zamani,Enlem,Boylam,Derinlik_km,Buyukluk,Yer
2025.04.23 20:33:04,40.8698,28.4170, 15.0 ,1.7 ,MARMARA DENIZI
2025.04.23 20:35:23,40.8458,28.4728, 23.2 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 20:42:03,40.8288,28.1298,  9.9 ,1.9 ,MARMARA DENIZI
2025.04.23 20:48:51,40.8582,28.4155, 12.2 ,2.1 ,MARMARA DENIZI
2025.04.23 20:59:11,40.8425,28.4775,  5.2 ,1.7 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 21:06:40,40.9172,28.4808,  2.0 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 21:14:14,40.8467,28.3205, 13.0 ,2.5 ,MARMARA DENIZI
2025.04.23 21:18:29,39.4132,37.3138,  5.0 ,1.8 ,KERTMEKARACAOREN-ULAS (SIVAS)
2025.04.23 21:28:56,40.8412,28.3052,  5.0 ,1.7 ,MARMARA DENIZI
2025.04.23 21:30:25,40.8143,28.0913,  8.1 ,2.0 ,MARMARA DENIZI
2025.04.23 21:32:15,40.8468,28.1758, 13.3 ,3.1 ,MARMARA DENIZI
2025.04.23 21:39:22,40.8562,28.4073, 13.6 ,2.1 ,MARMARA DENIZI
2025.04.23 21:41:46,40.8740,28.3958, 10.2 ,1.9 ,MARMARA DENIZI
2025.04.23 21:46:28,40.8290,28.2202, 13.2 ,3.8 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 21:56:32,40.8532,28.4213, 14.3 ,1.9 ,MARMARA DENIZI
2025.04.23 22:00:29,40.8538,28.4367, 14.7 ,1.9 ,MARMARA DENIZI
2025.04.23 22:06:16,40.8565,28.3482, 18.5 ,2.0 ,MARMARA DENIZI
2025.04.23 22:07:48,40.8402,28.2920, 11.3 ,2.6 ,MARMARA DENIZI
2025.04.23 22:10:46,40.8727,28.2522, 14.0 ,1.9 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 22:18:11,40.8620,28.4137, 13.0 ,2.3 ,MARMARA DENIZI
2025.04.23 22:25:47,40.8365,28.3577, 22.2 ,3.0 ,MARMARA DENIZI
2025.04.23 22:26:09,40.8575,28.4193, 12.8 ,3.0 ,MARMARA DENIZI
2025.04.23 22:33:17,40.8155,28.1767,  9.3 ,2.1 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 22:37:38,40.8510,28.3857, 17.3 ,2.4 ,MARMARA DENIZI
2025.04.23 22:46:14,38.4028,28.4505,  5.0 ,1.6 ,PIYADELER-ALASEHIR (MANISA)
2025.04.23 22:47:20,40.8605,28.7037, 15.1 ,1.8 ,AVCILAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 22:48:30,40.8365,28.7670, 15.7 ,2.3 ,AVCILAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 22:55:09,40.8873,28.3847, 24.2 ,1.8 ,MARMARA DENIZI
2025.04.23 22:58:07,40.8417,28.3102, 14.0 ,2.6 ,MARMARA DENIZI
2025.04.23 22:59:19,40.8478,28.4332, 16.8 ,2.5 ,MARMARA DENIZI
2025.04.23 23:01:30,40.8567,28.4488, 14.7 ,2.2 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 23:04:35,40.8448,28.3570, 14.4 ,2.2 ,MARMARA DENIZI
2025.04.23 23:06:32,40.8675,28.3370, 11.3 ,1.6 ,MARMARA DENIZI
2025.04.23 23:12:20,40.8663,28.4125, 16.6 ,1.7 ,MARMARA DENIZI
2025.04.23 23:16:42,40.8512,28.3908, 15.9 ,1.8 ,MARMARA DENIZI
2025.04.23 23:18:49,40.8588,28.3745, 12.3 ,2.0 ,MARMARA DENIZI
2025.04.23 23:28:30,40.8482,28.2810, 12.1 ,3.6 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
